island,sample_code,pit,depth_cm,sample_identifier,DNA_relative_abundance_percentage,RNA_relative_abundance_percentage,14C_enrichment_percentage_modern,modern_1_sigma_error_percentage,modelled_mean_residence_time_year,mean_residence_time_year,delta_13C_content_per_mille,conventional_radiocarbon _age_yr,age_1_sigma_error_yr_BP,SUERC_publication_code,combustion_method
Signy Island,FC_16,2,2,160,27.27863174,0.134967945,109.98,0.48,10,10,-27.1,0,0,SUERC-53240,elemental_combustion_system
Signy Island,FC_17,2,2,161,29.08557718,0.590287094,107.26,0.47,6,6,-26.3,0,0,SUERC-52673,bomb_combustion
Signy Island,FC_18,2,2,162,20.46413502,0.527568015,108.23,0.49,8,8,-27.5,0,0,SUERC-52674,bomb_combustion
Signy Island,FC_19,2,2,163,22.71493213,0,109.48,0.48,9,9,-25.7,0,0,SUERC-53218,elemental_combustion_system
Signy Island,FC_20,2,2,164,24.09520704,0.765516429,108.01,0.5,7,7,-25.4,0,0,SUERC-53219,elemental_combustion_system
Signy Island,FC_21,2,4,165,26.41591007,0.177364865,119.36,0.55,30,30,-27.2,0,0,SUERC-53241,elemental_combustion_system
Signy Island,FC_22,2,4,166,40.34519957,0.088295889,122.16,0.56,30,30,-26.8,0,0,SUERC-53242,elemental_combustion_system
Signy Island,FC_23,2,4,167,32.88696337,0.283583657,120.63,0.54,30,30,-25.6,0,0,SUERC-52675,bomb_combustion
Signy Island,FC_24,2,4,168,35.6318755,0.255930702,119.85,0.55,30,30,-26.8,0,0,SUERC-53220,elemental_combustion_system
Signy Island,FC_25,2,4,169,36.64573328,0.778987316,120.51,0.55,30,30,-26.9,0,0,SUERC-53222,elemental_combustion_system
Signy Island,FC_26,2,8,170,39.14309484,0.595377072,98.8,0.45,377,377,-24.4,97,37,SUERC-53635,elemental_combustion_system
Signy Island,FC_27,2,8,171,61.875,0.959288723,97.82,0.45,432,432,-25,177,37,SUERC-52678,bomb_combustion
Signy Island,FC_28,2,8,172,48.9863272,1.1892782,98.1,0.43,415,415,-25.2,154,35,SUERC-52679,bomb_combustion
Signy Island,FC_29,2,8,173,46.88879082,1.021267635,98.44,0.45,395,395,-24.6,126,37,SUERC-53223,elemental_combustion_system
Signy Island,FC_30,2,8,174,58.16212178,0.217344056,96.2,0.44,0,311,-24.6,311,37,SUERC-53224,elemental_combustion_system
Leonie Island,FC_31,2,2,205,61.51761518,6.878100983,109.47,0.48,77,77,-25.8,0,0,SUERC-53636,elemental_combustion_system
Leonie Island,FC_32,2,2,206,69.63431306,8.718052329,101.65,0.46,244,244,-25.3,0,0,SUERC-53637,elemental_combustion_system
Leonie Island,FC_33,2,2,207,70.72752231,9.244774971,101.57,0.44,247,247,-25.6,0,0,SUERC-52680,bomb_combustion
Leonie Island,FC_34,2,2,208,69.44980695,7.63945499,100.46,0.46,293,293,-25.6,0,0,SUERC-53225,elemental_combustion_system
Leonie Island,FC_35,2,2,209,72.55307158,10.92475589,97.46,0.42,454,454,-25.4,207,35,SUERC-53228,elemental_combustion_system
Leonie Island,FC_36,2,4,210,50.26954178,11.54734411,80.47,0.35,0,1745,-25,1745,35,SUERC-53638,elemental_combustion_system
Leonie Island,FC_37,2,4,211,81.62816282,60.56324582,89.07,0.41,0,930,-24.8,930,37,SUERC-53639,elemental_combustion_system
Leonie Island,FC_38,2,4,212,67.77870448,68.20247279,86.47,0.38,0,1168,-25,1168,36,SUERC-52681,bomb_combustion
Leonie Island,FC_39,2,4,213,67.61071776,53.72506609,84.87,0.39,0,1317,-25,1317,37,SUERC-53229,elemental_combustion_system
Leonie Island,FC_40,2,4,214,68.7721519,48.4096282,83.03,0.38,0,1494,-25,1494,37,SUERC-53230,elemental_combustion_system
Leonie Island,FC_41,2,8,215,56.5954311,47.87520172,91.88,0.42,0,681,-25,681,37,SUERC-53640,elemental_combustion_system
Leonie Island,FC_42,2,8,216,85.12798358,67.15102653,86.27,0.39,0,1186,-25.1,1186,37,SUERC-53641,elemental_combustion_system
Leonie Island,FC_43,2,8,217,62.04672495,49.63422069,84.18,0.37,0,1383,-24.7,1383,35,SUERC-52682,bomb_combustion
Leonie Island,FC_44,2,8,218,61.44884242,47.90602656,81.89,0.38,0,1605,-24.9,1605,37,SUERC-53231,elemental_combustion_system
Leonie Island,FC_45,2,8,219,55.54154583,35.68796715,81.25,0.37,0,1668,-25,1668,37,SUERC-53232,elemental_combustion_system
