SPECIES,SEASON,DATE_PAIR_COUNT,TOTAL_NUMBER_PAIRS_WITH_EGGS,TOTAL_NUMBER_OF_PAIRS_WITHOUT_EGGS,TOTAL_NUMBER_OF_PAIRS,DATE_CHICK_COUNT,TOTAL_NUMBER_OF_CHICKS,TOTAL_NUMBER_OF_EGGS,TOTAL_NUMBER_OF_NESTS_WITHOUT_EGGS,DATE_FLEDGLING_COUNT,TOTAL_NUMBER_OF_FLEDGLINGS,COMMENTS
Gentoo penguin,1979-1980,19/11/1979,NA,NA,303,24/12/1979,411,68,NA,2/2/1980,190,Pairs with/without eggs not distinguished. On 5th January 1980 there were 80 chicks and 5 eggs. Fledgling data for G1-G10
Gentoo penguin,1980-1981,11/11/1980,267,63,330,26/12/1980,420,116,NA,28/1/1981,145,NA
Gentoo penguin,1981-1982,22/11/1981,333,8,341,26/12/1981,770,71,NA,26/1/1982,516,NA
Gentoo penguin,1982-1983,21/11/1982,NA,NA,299,26/12/1982,394,32,NA,13/1/1983,321,Only total pair count for pair count survey
Gentoo penguin,1983-1984,23/11/1983,NA,NA,330,30/12/1983,475,28,NA,31/1/1984,285,Only total pair count for pair count survey
Gentoo penguin,1984-1985,11/11/1984,361,9,370,19/12/1984,542,76,NA,25/1/1985,480,NA
Gentoo penguin,1985-1986,9/11/1985,400,7,407,24/12/1985,546,26,NA,23/1/1986,589,NA
Gentoo penguin,1986-1987,7/11/1986,273,89,362,23/12/1986,616,165,NA,26/1/1987,324,NA
Gentoo penguin,1987-1988,18/11/1987,NA,NA,500,23/12/1987,636,252,NA,13/2/1988,678,Only total pair count for pair count survey
Gentoo penguin,1988-1989,6/11/1988,366,166,532,17/12/1988,607,286,NA,28/1/1989,739,NA
Gentoo penguin,1989-1990,18/11/1989,591,14,605,23/12/1989,909,109,NA,26/1/1990,352,NA
Gentoo penguin,1990-1991,18/11/1990,270,120,390,2/1/1991,737,103,NA,27/1/1991,710,NA
Gentoo penguin,1991-1992,4/12/1991,469,15,484,23/12/1991,344,596,NA,30/1/1992,803,NA
Gentoo penguin,1992-1993,26/11/1992,527,9,536,13/12/1992,715,291,NA,24/1/1993,721,NA
Gentoo penguin,1993-1994,21/11/1993,366,202,568,23/12/1993,172,716,NA,16/2/1994,31,NA
Gentoo penguin,1994-1995,18/11/1994,287,308,595,22/12/1994,329,814,NA,8/2/1995,838,Fledgling count on two dates: 08/02/1994 and 23/02/1994
Gentoo penguin,1995-1996,18/11/1995,908,97,677,21/12/1995,908,97,NA,4/2/1996,773,NA
Gentoo penguin,1996-1997,19/11/1996,713,13,726,23/12/1996,1129,78,NA,21/1/1997,934,NA
Gentoo penguin,1998-1999,27/11/1998,875,23,898,23/12/1998,1216,125,NA,21/1/1999,968,NA
Gentoo penguin,1999-2000,20/11/1999,553,298,851,23/12/1999,587,572,NA,21/1/2000,811,NA
Gentoo penguin,2000-2001,25/11/2000,907,50,957,22/12/2000,740,835,NA,25/1/2001,1170,NA
Gentoo penguin,2001-2002,25/11/2001,937,17,954,23/12/2001,1339,63,NA,24/1/2002,1258,NA
Gentoo penguin,2002-2003,25/11/2002,911,26,937,23/12/2002,1329,45,NA,2/2/2003,1277,NA
Gentoo penguin,2003-2004,27/11/2003,783,7,790,21/12/2003,1135,73,NA,14/1/2004,956,NA
Gentoo penguin,2004-2005,25/11/2004,793,7,800,20/12/2004,1125,50,NA,14/1/2005,726,NA
Gentoo penguin,2005-2006,30/11/2005,694,10,704,27/12/2005,869,45,NA,25/1/2006,761,NA
Gentoo penguin,2006-2007,30/11/2006,649,19,668,21/12/2006,933,49,NA,18/1/2007,882,NA
Gentoo penguin,2007-2008,5/12/2007,651,38,689,20/12/2007,818,154,39,30/1/2008,657,Date chick count carried out on two dates: 20/12/2007 and 06/01/2008; Some colony sites covered in snow so no breeding attempt
Gentoo penguin,2008-2009,6/12/2008,590,140,730,14/12/2008,1076,75,21,13/1/2009,705,Some colonies abandoned; Fledgling count includes 2 brooded chicks
Gentoo penguin,2009-2010,18/11/2009,702,51,753,30/12/2009,775,9,54,15/1/2010,823,NA
Gentoo penguin,2010-2011,1/12/2010,NA,NA,NA,NA,NA,NA,NA,6/1/2011,939,Only fledgling count for 2010-2011 season
Gentoo penguin,2011-2012,24/11/2011,990,19,1009,27/12/2011,1391,61,NA,16/1/2012,1351,NA
Gentoo penguin,2012-2013,3/12/2012,691,69,760,27/12/2012,45,20,NA,7/2/2013,3,NA
Gentoo penguin,2013-2014,9/12/2013,1113,23,1136,2/1/2014,929,90,NA,1/2/2014,785,NA
Gentoo penguin,2014-2015,1/12/2014,1186,11,1197,2/1/2015,1316,23,NA,4/2/2015,1323,NA
Gentoo penguin,2015-2016,23/11/2015,1236,79,1315,30/12/2015,1395,129,NA,26/1/2016,188,NA
Gentoo penguin,2016-2017,29/11/2016,843,73,916,20/12/2016,959,60,NA,15/1/2017,756,NA
Gentoo penguin,2017-2018,28/11/2017,913,24,937,19/12/2017,903,60,NA,15/1/2018,809,NA
Gentoo penguin,2018-2019,16/11/2018,1042,30,1072,27/12/2018,1059,140,NA,14/1/2019,857,NA
Gentoo penguin,2019-2020,3/12/2019,1114,36,1150,28/12/2019,1186,79,NA,16/1/2020,1778,Surveyed on three separate dates - all combined for total counts; Pair count - 3 Separate nests in among the Chinstraps
